Frame,Visibility,X,Y,Z,Event,Timestamp
10940,0,0.0,0.0,0.0,0,1653365989.323366
10941,0,0.0,0.0,0.0,0,1653365989.331703
10942,0,0.0,0.0,0.0,0,1653365989.340057
10943,0,0.0,0.0,0.0,0,1653365989.348368
10944,0,0.0,0.0,0.0,0,1653365989.356697
10945,0,0.0,0.0,0.0,0,1653365989.3650286
10946,0,0.0,0.0,0.0,0,1653365989.3733606
10947,0,0.0,0.0,0.0,0,1653365989.3816967
10948,0,0.0,0.0,0.0,0,1653365989.3900352
10949,0,0.0,0.0,0.0,0,1653365989.3983665
10950,0,0.0,0.0,0.0,0,1653365989.406701
10951,0,0.0,0.0,0.0,0,1653365989.4150362
10952,0,0.0,0.0,0.0,0,1653365989.4233575
10953,0,0.0,0.0,0.0,0,1653365989.431696
10954,0,0.0,0.0,0.0,0,1653365989.440023
10955,0,0.0,0.0,0.0,0,1653365989.4483569
10956,0,0.0,0.0,0.0,0,1653365989.4566884
10957,0,0.0,0.0,0.0,0,1653365989.4650266
10958,0,0.0,0.0,0.0,0,1653365989.4733517
10959,0,0.0,0.0,0.0,0,1653365989.4816897
10960,0,0.0,0.0,0.0,0,1653365989.4900255
10961,0,0.0,0.0,0.0,0,1653365989.4983552
10962,0,0.0,0.0,0.0,0,1653365989.506683
10963,0,0.0,0.0,0.0,0,1653365989.515033
10964,0,0.0,0.0,0.0,0,1653365989.5233505
10965,0,0.0,0.0,0.0,0,1653365989.5316837
10966,0,0.0,0.0,0.0,0,1653365989.5400138
10967,0,0.0,0.0,0.0,0,1653365989.548359
10968,0,0.0,0.0,0.0,0,1653365989.5566795
10969,0,0.0,0.0,0.0,0,1653365989.5650165
10970,0,0.0,0.0,0.0,0,1653365989.5733483
10971,0,0.0,0.0,0.0,0,1653365989.5816815
10972,0,0.0,0.0,0.0,0,1653365989.5900118
10973,0,0.0,0.0,0.0,0,1653365989.5983486
10974,0,0.0,0.0,0.0,0,1653365989.606678
10975,0,0.0,0.0,0.0,0,1653365989.6150053
10976,0,0.0,0.0,0.0,0,1653365989.6233392
10977,0,0.0,0.0,0.0,0,1653365989.6316812
10978,0,0.0,0.0,0.0,0,1653365989.6400063
10979,0,0.0,0.0,0.0,0,1653365989.6483407
10980,0,0.0,0.0,0.0,0,1653365989.656677
10981,0,0.0,0.0,0.0,0,1653365989.6650057
10982,0,0.0,0.0,0.0,0,1653365989.6733332
10983,0,0.0,0.0,0.0,0,1653365989.6816704
10984,0,0.0,0.0,0.0,0,1653365989.6900036
10985,0,0.0,0.0,0.0,0,1653365989.698341
10986,0,0.0,0.0,0.0,0,1653365989.706663
10987,0,0.0,0.0,0.0,0,1653365989.715002
10988,0,0.0,0.0,0.0,0,1653365989.7233543
10989,0,0.0,0.0,0.0,0,1653365989.7317045
10990,0,0.0,0.0,0.0,0,1653365989.740005
10991,0,0.0,0.0,0.0,0,1653365989.7483258
10992,0,0.0,0.0,0.0,0,1653365989.756668
10993,0,0.0,0.0,0.0,0,1653365989.7649913
10994,0,0.0,0.0,0.0,0,1653365989.7733245
10995,0,0.0,0.0,0.0,0,1653365989.781659
10996,0,0.0,0.0,0.0,0,1653365989.7900162
10997,0,0.0,0.0,0.0,0,1653365989.7983222
10998,0,0.0,0.0,0.0,0,1653365989.8066626
10999,0,0.0,0.0,0.0,0,1653365989.815003
11000,0,0.0,0.0,0.0,0,1653365989.8233263
11001,0,0.0,0.0,0.0,0,1653365989.8316455
11002,0,0.0,0.0,0.0,0,1653365989.8399827
11003,0,0.0,0.0,0.0,0,1653365989.8483305
11004,0,0.0,0.0,0.0,0,1653365989.8566604
11005,0,0.0,0.0,0.0,0,1653365989.8649976
11006,0,0.0,0.0,0.0,0,1653365989.8733118
11007,0,0.0,0.0,0.0,0,1653365989.881653
11008,0,0.0,0.0,0.0,0,1653365989.8899865
11009,0,0.0,0.0,0.0,0,1653365989.8983254
11010,0,0.0,0.0,0.0,0,1653365989.9066608
11011,0,0.0,0.0,0.0,0,1653365989.9149764
