Frame,Visibility,X,Y,Z,Event,Timestamp
55701,0,0.0,0.0,0.0,0,1655354204.607525
55702,0,0.0,0.0,0.0,0,1655354204.6159008
55703,0,0.0,0.0,0.0,0,1655354204.6241791
55704,0,0.0,0.0,0.0,0,1655354204.63256
55705,0,0.0,0.0,0.0,0,1655354204.6409135
55706,0,0.0,0.0,0.0,0,1655354204.6492405
55707,0,0.0,0.0,0.0,0,1655354204.6575933
55708,0,0.0,0.0,0.0,0,1655354204.6658542
55709,0,0.0,0.0,0.0,0,1655354204.6741862
55710,0,0.0,0.0,0.0,0,1655354204.6825914
55711,0,0.0,0.0,0.0,0,1655354204.6909354
55712,0,0.0,0.0,0.0,0,1655354204.6992452
55713,0,0.0,0.0,0.0,0,1655354204.707548
55714,0,0.0,0.0,0.0,0,1655354204.7158346
55715,0,0.0,0.0,0.0,0,1655354204.72419
55716,0,0.0,0.0,0.0,0,1655354204.7325237
55717,0,0.0,0.0,0.0,0,1655354204.7409155
55718,0,0.0,0.0,0.0,0,1655354204.7492423
55719,0,0.0,0.0,0.0,0,1655354204.757584
55720,0,0.0,0.0,0.0,0,1655354204.765848
55721,0,0.0,0.0,0.0,0,1655354204.7742066
55722,0,0.0,0.0,0.0,0,1655354204.7825904
55723,0,0.0,0.0,0.0,0,1655354204.790878
55724,0,0.0,0.0,0.0,0,1655354204.799265
55725,0,0.0,0.0,0.0,0,1655354204.807601
55726,0,0.0,0.0,0.0,0,1655354204.8159149
55727,0,0.0,0.0,0.0,0,1655354204.8243043
55728,0,0.0,0.0,0.0,0,1655354204.832693
55729,0,0.0,0.0,0.0,0,1655354204.8409836
55730,0,0.0,0.0,0.0,0,1655354204.8492608
55731,0,0.0,0.0,0.0,0,1655354204.857586
55732,0,0.0,0.0,0.0,0,1655354204.8660002
55733,0,0.0,0.0,0.0,0,1655354204.874256
55734,0,0.0,0.0,0.0,0,1655354204.882676
55735,0,0.0,0.0,0.0,0,1655354204.8909135
55736,0,0.0,0.0,0.0,0,1655354204.8992677
55737,0,0.0,0.0,0.0,0,1655354204.9075837
55738,0,0.0,0.0,0.0,0,1655354204.9159153
55739,0,0.0,0.0,0.0,0,1655354204.92423
55740,0,0.0,0.0,0.0,0,1655354204.9325686
55741,0,0.0,0.0,0.0,0,1655354204.941003
55742,0,0.0,0.0,0.0,0,1655354204.9493215
55743,0,0.0,0.0,0.0,0,1655354204.9576595
55744,0,0.0,0.0,0.0,0,1655354204.9659388
55745,0,0.0,0.0,0.0,0,1655354204.9742455
55746,0,0.0,0.0,0.0,0,1655354204.9825668
55747,0,0.0,0.0,0.0,0,1655354204.9909642
55748,0,0.0,0.0,0.0,0,1655354204.9993105
55749,0,0.0,0.0,0.0,0,1655354205.0076551
55750,0,0.0,0.0,0.0,0,1655354205.015971
55751,0,0.0,0.0,0.0,0,1655354205.0242145
55752,0,0.0,0.0,0.0,0,1655354205.0326324
55753,0,0.0,0.0,0.0,0,1655354205.040956
55754,0,0.0,0.0,0.0,0,1655354205.0492868
55755,0,0.0,0.0,0.0,0,1655354205.05763
55756,0,0.0,0.0,0.0,0,1655354205.0659423
55757,0,0.0,0.0,0.0,0,1655354205.0742502
55758,0,0.0,0.0,0.0,0,1655354205.082556
